method,after_task,after_task_name,eval_task,eval_task_name,raw,normalized
cka_rl,17,"biggrid50-goal(46,31)",8,"biggrid50-goal(27,45)",0.6795918345451355,0.09423083987020282
cka_rl,17,"biggrid50-goal(46,31)",9,"biggrid50-goal(21,45)",0.8942176103591919,0.6425285219390467
cka_rl,17,"biggrid50-goal(46,31)",10,"biggrid50-goal(33,3)",0.768367350101471,0.12129004803548349
cka_rl,17,"biggrid50-goal(46,31)",11,"biggrid50-goal(21,24)",0.9061223864555359,0.5430460828583928
cka_rl,17,"biggrid50-goal(46,31)",12,"biggrid50-goal(21,3)",0.7911564707756042,0.3267544276809391
cka_rl,17,"biggrid50-goal(46,31)",13,"biggrid50-goal(3,17)",0.8799318671226501,0.5305847903067498
cka_rl,17,"biggrid50-goal(46,31)",14,"biggrid50-goal(15,45)",0.8557822704315186,0.4002827101408073
cka_rl,17,"biggrid50-goal(46,31)",15,"biggrid50-goal(3,24)",0.9224488735198975,0.5458164131947584
cka_rl,17,"biggrid50-goal(46,31)",16,"biggrid50-goal(3,10)",0.6574829816818237,-0.07470660314971468
cka_rl,17,"biggrid50-goal(46,31)",17,"biggrid50-goal(46,31)",0.8619046807289124,0.5735291356549379
cka_rl,18,"biggrid50-goal(46,24)",0,"biggrid50-goal(40,31)",0.9064624905586243,0.7287965440504132
cka_rl,18,"biggrid50-goal(46,24)",1,"biggrid50-goal(9,31)",0.8608843088150024,0.3619343391955472
cka_rl,18,"biggrid50-goal(46,24)",2,"biggrid50-goal(15,31)",0.8414965271949768,0.26498372141296866
cka_rl,18,"biggrid50-goal(46,24)",3,"biggrid50-goal(9,24)",0.85748291015625,0.14489817449006778
cka_rl,18,"biggrid50-goal(46,24)",4,"biggrid50-goal(21,17)",0.7608843445777893,0.1437271107813636
cka_rl,18,"biggrid50-goal(46,24)",5,"biggrid50-goal(27,3)",0.7809523940086365,0.2305855219370522
cka_rl,18,"biggrid50-goal(46,24)",6,"biggrid50-goal(3,31)",0.8989794850349426,0.602409271126398
cka_rl,18,"biggrid50-goal(46,24)",7,"biggrid50-goal(33,10)",0.8901360034942627,0.5738784965166319
cka_rl,18,"biggrid50-goal(46,24)",8,"biggrid50-goal(27,45)",0.6812924742698669,0.09903841714578997
cka_rl,18,"biggrid50-goal(46,24)",9,"biggrid50-goal(21,45)",0.8588435053825378,0.5229884582854871
cka_rl,18,"biggrid50-goal(46,24)",10,"biggrid50-goal(33,3)",0.8642855882644653,0.48516064436828954
cka_rl,18,"biggrid50-goal(46,24)",11,"biggrid50-goal(21,24)",0.8833333253860474,0.4321192033766321
cka_rl,18,"biggrid50-goal(46,24)",12,"biggrid50-goal(21,3)",0.7782312631607056,0.28508764092268
cka_rl,18,"biggrid50-goal(46,24)",13,"biggrid50-goal(3,17)",0.8574829697608948,0.4428191724869481
cka_rl,18,"biggrid50-goal(46,24)",14,"biggrid50-goal(15,45)",0.8139455914497375,0.22630840191437843
cka_rl,18,"biggrid50-goal(46,24)",15,"biggrid50-goal(3,24)",0.9360542297363281,0.6254971317943382
cka_rl,18,"biggrid50-goal(46,24)",16,"biggrid50-goal(3,10)",0.6598638892173767,-0.0672360924506791
cka_rl,18,"biggrid50-goal(46,24)",17,"biggrid50-goal(46,31)",0.8299318552017212,0.47478952152386084
cka_rl,18,"biggrid50-goal(46,24)",18,"biggrid50-goal(46,24)",0.9115645885467529,0.7065460968079447
cka_rl,19,"biggrid50-goal(3,45)",0,"biggrid50-goal(40,31)",0.7710884213447571,0.3362918083992073
cka_rl,19,"biggrid50-goal(3,45)",1,"biggrid50-goal(9,31)",0.8802720308303833,0.4508577349236855
cka_rl,19,"biggrid50-goal(3,45)",2,"biggrid50-goal(15,31)",0.9044217467308044,0.5567821273027243
cka_rl,19,"biggrid50-goal(3,45)",3,"biggrid50-goal(9,24)",0.9102039337158203,0.4612240518846079
cka_rl,19,"biggrid50-goal(3,45)",4,"biggrid50-goal(21,17)",0.7649660110473633,0.1583435537514306
cka_rl,19,"biggrid50-goal(3,45)",5,"biggrid50-goal(27,3)",0.7452380657196045,0.10513735218641936
cka_rl,19,"biggrid50-goal(3,45)",6,"biggrid50-goal(3,31)",0.9578230381011963,0.8340023407243577
cka_rl,19,"biggrid50-goal(3,45)",7,"biggrid50-goal(33,10)",0.8608843088150024,0.46042207300566057
cka_rl,19,"biggrid50-goal(3,45)",8,"biggrid50-goal(27,45)",0.6867347955703735,0.11442343951723379
cka_rl,19,"biggrid50-goal(3,45)",9,"biggrid50-goal(21,45)",0.8724488615989685,0.5689651734338942
cka_rl,19,"biggrid50-goal(3,45)",10,"biggrid50-goal(33,3)",0.78231281042099,0.1741928437892589
cka_rl,19,"biggrid50-goal(3,45)",11,"biggrid50-goal(21,24)",0.8833332061767578,0.4321186231195318
cka_rl,19,"biggrid50-goal(3,45)",12,"biggrid50-goal(21,3)",0.7850339412689209,0.30701732643066076
cka_rl,19,"biggrid50-goal(3,45)",13,"biggrid50-goal(3,17)",0.8911563158035278,0.5744675992166506
cka_rl,19,"biggrid50-goal(3,45)",14,"biggrid50-goal(15,45)",0.8996597528457642,0.5827435276703232
cka_rl,19,"biggrid50-goal(3,45)",15,"biggrid50-goal(3,24)",0.970408022403717,0.8266925171127137
cka_rl,19,"biggrid50-goal(3,45)",16,"biggrid50-goal(3,10)",0.672448992729187,-0.027748145510474612
cka_rl,19,"biggrid50-goal(3,45)",17,"biggrid50-goal(46,31)",0.8088434338569641,0.40966351054794536
cka_rl,19,"biggrid50-goal(3,45)",18,"biggrid50-goal(46,24)",0.8272107243537903,0.42663593084638224
cka_rl,19,"biggrid50-goal(3,45)",19,"biggrid50-goal(3,45)",0.9469386339187622,0.843999609570568
cka_rl,20,"biggrid50-goal(21,10)",0,"biggrid50-goal(40,31)",0.7687074542045593,0.32938841188180545
cka_rl,20,"biggrid50-goal(21,10)",1,"biggrid50-goal(9,31)",0.8986393809318542,0.5351011102028765
cka_rl,20,"biggrid50-goal(21,10)",2,"biggrid50-goal(15,31)",0.8642857670783997,0.3706625560435861
cka_rl,20,"biggrid50-goal(21,10)",3,"biggrid50-goal(9,24)",0.9418366551399231,0.6510202220509583
cka_rl,20,"biggrid50-goal(21,10)",4,"biggrid50-goal(21,17)",0.7666666507720947,0.16443354266514068
cka_rl,20,"biggrid50-goal(21,10)",5,"biggrid50-goal(27,3)",0.76666659116745,0.18040600280003374
cka_rl,20,"biggrid50-goal(21,10)",6,"biggrid50-goal(3,31)",0.961224377155304,0.8473891352198787
cka_rl,20,"biggrid50-goal(21,10)",7,"biggrid50-goal(33,10)",0.9632652401924133,0.8575195552940605
cka_rl,20,"biggrid50-goal(21,10)",8,"biggrid50-goal(27,45)",0.6935374736785889,0.13365408561504535
cka_rl,20,"biggrid50-goal(21,10)",9,"biggrid50-goal(21,45)",0.9003400206565857,0.6632180437558299
cka_rl,20,"biggrid50-goal(21,10)",10,"biggrid50-goal(33,3)",0.9068027138710022,0.6464514702331046
cka_rl,20,"biggrid50-goal(21,10)",11,"biggrid50-goal(21,24)",0.9037415385246277,0.5314571880508816
cka_rl,20,"biggrid50-goal(21,10)",12,"biggrid50-goal(21,3)",0.7945577502250671,0.3377190782883816
cka_rl,20,"biggrid50-goal(21,10)",13,"biggrid50-goal(3,17)",0.9006801843643188,0.6117018648824742
cka_rl,20,"biggrid50-goal(21,10)",14,"biggrid50-goal(15,45)",0.8557823300361633,0.40028295800170577
cka_rl,20,"biggrid50-goal(21,10)",15,"biggrid50-goal(3,24)",0.9098638296127319,0.4721112248720015
cka_rl,20,"biggrid50-goal(21,10)",16,"biggrid50-goal(3,10)",0.7241496443748474,0.1344716238415986
cka_rl,20,"biggrid50-goal(21,10)",17,"biggrid50-goal(46,31)",0.8044216632843018,0.3960080417890293
cka_rl,20,"biggrid50-goal(21,10)",18,"biggrid50-goal(46,24)",0.7918366193771362,0.30925456735476137
cka_rl,20,"biggrid50-goal(21,10)",19,"biggrid50-goal(3,45)",0.9697276949882507,0.9109994380129315
cka_rl,20,"biggrid50-goal(21,10)",20,"biggrid50-goal(21,10)",0.77448970079422,0.201204494951361
cka_rl,21,"biggrid50-goal(40,3)",0,"biggrid50-goal(40,31)",0.86530601978302,0.6094671202107967
